station_id,state,district,water_body_type,year,month,temperature,pH,dissolved_oxygen,conductivity,turbidity,bod,nitrate,fecal_coliform,water_quality_class,water_status,risk_score
STN_1000,Tamil Nadu,Chennai,River,2020,11,30.48,8.14,5.75,1113.04,11.63,4.94,39.33,1440,Moderate,Polluted,6
STN_1001,Andhra Pradesh,Visakhapatnam,Groundwater,2020,12,26.11,7.42,6.67,827.19,11.87,3.41,29.44,1304,Moderate,Polluted,6
STN_1002,Tamil Nadu,Coimbatore,River,2021,11,24.28,8.38,6.89,1269.25,15.42,1.91,10.32,1031,Safe,Moderate,4
STN_1003,Maharashtra,Mumbai City,Lake,2022,9,26.76,6.97,7.95,976.9,19.64,9.36,40.46,882,Polluted,Polluted,6
STN_1004,Rajasthan,Jaipur,River,2022,9,29.9,7.88,3.23,1401.59,8.48,7.25,24.3,1433,Polluted,Polluted,8
STN_1005,Karnataka,Bengaluru Urban,Lake,2019,1,27.27,7.8,5.04,822.58,18.36,1.62,42.51,1326,Safe,Moderate,4
STN_1006,Uttar Pradesh,Lucknow,Groundwater,2021,2,34.57,8.14,3.85,926.41,12.19,3.62,13.71,1238,Moderate,Polluted,8
STN_1007,Telangana,Hyderabad,Lake,2021,9,29.79,8.23,4.01,569.81,18.63,6.98,6.98,1383,Polluted,Polluted,8
STN_1008,Karnataka,Bengaluru Rural,River,2022,8,27.39,7.14,6.21,354.1,15.62,7.06,35.74,1503,Polluted,Polluted,6
STN_1009,Bihar,Patna,Groundwater,2021,11,28.84,6.98,6.65,513.33,10.37,1.38,44.62,1405,Safe,Moderate,4
STN_1010,Maharashtra,Mumbai Suburban,Lake,2019,6,32.16,7.32,6.12,496.7,18.43,2.93,19.15,1141,Safe,Moderate,4
STN_1011,Tamil Nadu,Madurai,Groundwater,2019,4,17.31,7.66,3.27,813.88,5.71,1.98,14.08,696,Moderate,Polluted,6
STN_1012,Rajasthan,Jodhpur,Groundwater,2021,9,29.73,6.53,3.06,350.28,9.22,3.89,24.1,1652,Moderate,Polluted,8
STN_1013,Rajasthan,Udaipur,Lake,2023,9,17.91,7.77,7.28,458.0,12.13,8.17,42.52,1414,Polluted,Polluted,6
STN_1014,Tamil Nadu,Tiruchirappalli,River,2021,4,22.83,7.87,3.5,1230.27,11.0,3.0,3.48,909,Moderate,Polluted,6
STN_1015,Uttar Pradesh,Kanpur Nagar,Lake,2020,9,19.44,6.59,4.11,1152.96,14.43,2.91,36.47,992,Moderate,Polluted,6
STN_1016,Rajasthan,Kota,River,2023,12,23.57,7.56,7.84,322.68,5.47,3.24,18.28,942,Moderate,Polluted,6
STN_1017,Tamil Nadu,Salem,River,2019,5,34.93,6.58,7.87,1383.38,13.57,8.02,32.67,440,Polluted,Polluted,6
STN_1018,Andhra Pradesh,Anakapalli,Groundwater,2022,12,21.78,8.33,6.29,1193.45,16.07,9.82,3.64,1052,Polluted,Polluted,6
STN_1019,Madhya Pradesh,Bhopal,Groundwater,2020,10,30.28,8.66,6.45,993.26,10.54,3.8,39.11,1140,Moderate,Polluted,8
STN_1020,West Bengal,Kolkata,River,2019,12,25.91,7.91,5.15,734.81,16.73,2.8,41.86,637,Safe,Moderate,4
STN_1021,Bihar,Gaya,River,2019,4,34.2,7.11,8.38,252.27,16.84,4.5,13.64,629,Moderate,Polluted,6
STN_1022,Karnataka,Mysuru,Lake,2023,9,30.61,6.83,7.04,1443.43,3.82,9.86,38.97,1843,Polluted,Moderate,5
STN_1023,West Bengal,Howrah,Groundwater,2019,11,31.49,8.28,6.77,1264.95,18.41,7.52,42.43,1478,Polluted,Polluted,6
STN_1024,Tamil Nadu,Erode,River,2019,1,19.75,7.18,5.76,1232.5,11.82,6.36,23.56,1354,Polluted,Polluted,6
STN_1025,Madhya Pradesh,Indore,Groundwater,2020,8,30.93,7.96,5.87,565.01,19.18,3.71,19.08,1743,Moderate,Polluted,6
STN_1026,Tamil Nadu,Tirunelveli,Lake,2022,12,34.25,8.73,7.88,1459.43,16.95,5.49,7.51,133,Moderate,Polluted,8
STN_1027,Madhya Pradesh,Jabalpur,River,2020,12,21.07,7.24,8.85,1364.79,5.75,2.82,26.52,737,Safe,Moderate,4
STN_1028,Madhya Pradesh,Gwalior,Lake,2019,7,33.7,8.43,5.36,947.07,12.27,1.15,4.38,418,Safe,Moderate,4
STN_1029,Maharashtra,Pune,Lake,2021,11,17.16,6.85,6.15,281.32,6.24,1.93,26.46,435,Safe,Moderate,4
STN_1030,Uttar Pradesh,Kanpur Dehat,Lake,2021,8,26.03,7.65,5.01,369.12,2.43,8.21,31.01,1478,Polluted,Moderate,5
STN_1031,West Bengal,Hooghly,Lake,2023,10,18.48,7.0,7.21,822.48,12.15,7.05,40.73,919,Polluted,Polluted,6
STN_1032,Bihar,Nalanda,Lake,2023,10,34.69,8.36,5.01,756.57,5.38,3.32,36.25,758,Moderate,Polluted,6
STN_1033,Tamil Nadu,Thoothukudi,Lake,2022,11,34.09,6.83,5.04,930.56,12.79,1.63,25.03,1617,Safe,Moderate,4
STN_1034,Telangana,Rangareddy,Groundwater,2019,10,19.63,7.81,4.89,1238.08,3.94,4.98,2.22,301,Moderate,Polluted,7
STN_1035,Tamil Nadu,Vellore,River,2022,9,34.21,6.97,7.72,902.71,3.91,2.62,38.03,811,Safe,Moderate,3
STN_1036,Andhra Pradesh,Kakinada,Groundwater,2019,3,16.41,8.8,8.46,986.59,6.53,9.19,12.34,499,Polluted,Polluted,8
STN_1037,Madhya Pradesh,Ujjain,River,2022,6,23.47,7.71,4.01,517.93,6.36,5.86,39.29,1404,Moderate,Polluted,8
STN_1038,Rajasthan,Ajmer,Lake,2019,1,25.75,8.63,3.28,1027.83,15.5,7.93,20.91,1368,Polluted,Polluted,10
STN_1039,Tamil Nadu,Dindigul,Groundwater,2021,11,29.05,7.51,5.3,683.46,4.5,6.26,42.66,939,Polluted,Moderate,5
STN_1040,Bihar,Bhagalpur,Lake,2019,6,18.93,7.29,3.42,922.89,6.56,6.66,11.28,956,Polluted,Polluted,8
STN_1041,West Bengal,North 24 Parganas,River,2022,3,18.43,8.63,5.55,440.54,9.14,6.6,21.68,1158,Polluted,Polluted,8
STN_1042,Tamil Nadu,Thanjavur,Lake,2021,3,24.89,7.05,7.51,431.97,5.23,4.07,24.0,1949,Moderate,Polluted,6
STN_1043,Rajasthan,Bikaner,Lake,2020,10,32.6,6.72,6.29,1243.51,11.41,7.31,18.7,1890,Polluted,Polluted,6
STN_1044,West Bengal,South 24 Parganas,River,2022,8,34.84,7.09,8.39,531.14,8.4,2.77,16.26,1859,Safe,Moderate,4
STN_1045,Madhya Pradesh,Sagar,River,2020,8,30.85,6.67,5.71,575.41,3.87,6.17,8.59,1699,Polluted,Moderate,5
STN_1046,Madhya Pradesh,Rewa,Groundwater,2023,11,24.52,7.84,5.47,465.26,15.55,7.67,39.41,1637,Polluted,Polluted,6
STN_1047,Maharashtra,Nagpur,Lake,2022,11,26.84,7.9,4.21,299.98,12.18,3.13,43.58,1740,Moderate,Polluted,8
STN_1048,Madhya Pradesh,Satna,Lake,2020,11,27.15,7.19,4.76,950.62,13.91,6.72,3.12,55,Polluted,Moderate,5
STN_1049,Andhra Pradesh,East Godavari,Groundwater,2020,5,15.85,7.23,8.19,785.41,18.43,3.32,5.39,920,Moderate,Polluted,6
